title,n_enrolled,course_type,Level,subject,language,price
anatomyx: musculoskeletal cases,"102,075",self-paced on your time,intermediate,medicine,english,free-add a verified certificate for $99 usd
data science: inference and modeling,"88,256",self-paced on your time,introductory,data analysis & statistics,english,free-add a verified certificate for $49 usd
strengthening community health worker programs,"58,626",self-paced on your time,introductory,health & safety,english,free-add a verified certificate for $79 usd
buddhism through its scriptures,"182,295",self-paced on your time,introductory,humanities,english,free-add a verified certificate for $99 usd
introduction to linux,"642,088",self-paced on your time,introductory,computer science,english,free-add a verified certificate for $199 usd
"bioethics: the law, medicine, and ethics of reproductive technologies and genetics","81,221",self-paced on your time,introductory,medicine,english,free-add a verified certificate for $99 usd
shakespeare's life and work,"48,938",self-paced on your time,introductory,humanities,english,free-add a verified certificate for $49 usd
marketing digital: content & community manager,"112,623",self-paced on your time,introductory,communication,español,free-add a verified certificate for $49 usd
accounting and finance,"88,243",self-paced on your time,intermediate,business & management,english,free-add a verified certificate for $150 usd
computing in python i: fundamentals and procedural programming,"141,966",self-paced on your time,introductory,computer science,english,free-add a verified certificate for $99 usd
"nutrition, exercise and sports","51,679",self-paced on your time,intermediate,food & nutrition,english,free-add a verified certificate for $49 usd
becoming an entrepreneur,"104,760",self-paced on your time,introductory,business & management,english,free-add a verified certificate for $69 usd
"religion, conflict and peace","74,060",self-paced on your time,introductory,humanities,english,free-add a verified certificate for $49 usd
"tangible things: discovering history through artworks, artifacts, scientific specimens, and the stuff around you","61,139",self-paced on your time,introductory,humanities,english,free-add a verified certificate for $49 usd
academic and business writing,"322,701",self-paced on your time,introductory,communication,english,free-add a verified certificate for $49 usd
data science: capstone,"62,803",self-paced on your time,introductory,data analysis & statistics,english,free-add a verified certificate for $99 usd
basics of computing and programming,"37,045",self-paced on your time,introductory,computer science,english,free-add a verified certificate for $200 usd
"fundamentals of neuroscience, part 2: neurons and networks","84,874",self-paced on your time,introductory,biology & life sciences,english,free-add a verified certificate for $99 usd
successful negotiation: essential strategies and skills,"31,369",self-paced on your time,introductory,business & management,english,free-add a verified certificate for $49 usd
data science: linear regression,"75,310",self-paced on your time,introductory,data analysis & statistics,english,free-add a verified certificate for $49 usd
html5 and css fundamentals,"335,895",self-paced on your time,introductory,computer science,english,free-add a verified certificate for $199 usd
data science: productivity tools,"66,683",self-paced on your time,introductory,data analysis & statistics,english,free-add a verified certificate for $49 usd
introduction to corporate finance,"98,093",self-paced on your time,introductory,business & management,english,free-add a verified certificate for $225 usd
computer science 101,"39,540",self-paced on your time,introductory,computer science,english,free-add a verified certificate for $149 usd
data science: wrangling,"64,584",self-paced on your time,introductory,data analysis & statistics,english,free-add a verified certificate for $49 usd
a hands-on introduction to engineering simulations,"187,138",self-paced on your time,intermediate,engineering,english,free-add a verified certificate for $199 usd
ai for everyone: master the basics,"49,340",self-paced on your time,introductory,computer science,english,free-add a verified certificate for $49 usd
the psychology of criminal justice,"110,086",self-paced on your time,introductory,humanities,english,free-add a verified certificate for $99 usd
machine learning with python: a practical introduction,"80,161",self-paced on your time,introductory,data analysis & statistics,english,free-add a verified certificate for $39 usd
analyzing data with python,"94,079",self-paced on your time,introductory,data analysis & statistics,english,free-add a verified certificate for $39 usd
excel: gestión de datos,"111,785",self-paced on your time,intermediate,computer science,español,free-add a verified certificate for $75 usd
probability - the science of uncertainty and data,"205,615",instructor-led on a course schedule,advanced,data analysis & statistics,english,free-add a verified certificate for $300 usd
"fundamentals of neuroscience, part 3: the brain","85,034",self-paced on your time,introductory,biology & life sciences,english,free-add a verified certificate for $99 usd
sikhism through its scriptures,"44,125",self-paced on your time,introductory,humanities,english,free-add a verified certificate for $99 usd
upper-intermediate english: business and modern life,"77,991",self-paced on your time,intermediate,language,english,free-add a verified certificate for $50 usd
introduction to probability,"97,291",self-paced on your time,intermediate,data analysis & statistics,english,free-add a verified certificate for $99 usd
religious literacy: traditions and scriptures,"96,972",self-paced on your time,introductory,humanities,english,free-add a verified certificate for $99 usd
programación para todos (empezando con python),"81,004",self-paced on your time,introductory,computer science,español,free-add a verified certificate for $49 usd
analyzing and visualizing data with power bi,"28,879",self-paced on your time,introductory,data analysis & statistics,english,free-add a verified certificate for $99 usd
high-dimensional data analysis,"78,443",self-paced on your time,advanced,data analysis & statistics,english,free-add a verified certificate for $149 usd
introduction to music theory,"67,029",self-paced on your time,introductory,humanities,english,free-add a verified certificate for $49 usd
human anatomy,"126,850",self-paced on your time,introductory,medicine,english,free-add a verified certificate for $139 usd
"citiesx: the past, present and future of urban life","76,874",self-paced on your time,introductory,social sciences,english,free-add a verified certificate for $99 usd
the path to happiness: what chinese philosophy teaches us about the good life,"24,208",self-paced on your time,introductory,philosophy & ethics,english,free-add a verified certificate for $99 usd
entrepreneurship 101: who is your customer?,"41,838",self-paced on your time,introductory,business & management,english,free-add a verified certificate for $49 usd
"u.s. public policy: social, economic, and foreign policies","44,045",self-paced on your time,introductory,social sciences,english,free-add a verified certificate for $49 usd
machine learning with python: from linear models to deep learning,"85,561",instructor-led on a course schedule,advanced,computer science,english,free-add a verified certificate for $300 usd
introduction to data science,"43,766",self-paced on your time,introductory,data analysis & statistics,english,free-add a verified certificate for $39 usd
circuits and electronics 1: basic circuit analysis,"52,639",self-paced on your time,introductory,electronics,english,free-add a verified certificate for $169 usd
introduction to investments,"91,788",self-paced on your time,intermediate,business & management,english,free-add a verified certificate for $50 usd
improving your business through a culture of health,"54,136",self-paced on your time,introductory,business & management,english,free-add a verified certificate for $99 usd
