name,institution,course_id
global financial markets and instruments,rice university,global-financial-markets-instruments
write your first novel,michigan state university,write-your-first-novel
développement psychologique de l'enfant,university of geneva,enfant-developpement
songwriting: writing the lyrics,berklee college of music,songwriting-lyrics
"applied plotting, charting & data representation in python",university of michigan,python-plotting
systems thinking in public health,johns hopkins university,systems-thinking
excel skills for business: advanced,macquarie university,excel-advanced
introduction to neuroeconomics: how the brain makes decisions,national research university higher school of economics,neuroeconomics
community organizing for social justice,university of michigan,community-organizing
build a modern computer from first principles: nand to tetris part ii (project-centered course),hebrew university of jerusalem,nand2tetris2
the global financial crisis,yale university,global-financial-crisis
agile и scrum в работе над проектами и продуктами,e-learning development fund,upravleniya-proektami-agile-scrum
renewable energy and green building entrepreneurship,duke university,renewable-energy-entrepreneurship
the cycle: management of successful arts and cultural organizations,"university of maryland, college park",the-cycle
privacy law and data protection,university of pennsylvania,privacy-law-data-protection
building modern python applications on aws,amazon web services,building-modern-python-applications-on-aws
digital business models,lund university,digital-business-models
"everyday excel, part 2",university of colorado boulder,everyday-excel-part-2
reliable google cloud infrastructure: design and process,google cloud,cloud-infrastructure-design-process
introduction to computer programming,university of london,introduction-to-computer-programming
"big data essentials: hdfs, mapreduce and spark rdd",yandex,big-data-essentials
dermatology: trip to skin,novosibirsk state university ,dermatology
sustainable tourism – promoting environmental public health,university of copenhagen,sustainable-tourism
population health during a pandemic: contact tracing and beyond,university of houston,contact-tracing-for-covid-19
social impact strategy: tools for entrepreneurs and innovators,university of pennsylvania,social-impact
c for everyone: programming fundamentals,"university of california, santa cruz",c-for-everyone
introduction to structured query language (sql),university of michigan,intro-sql
social and economic networks:  models and analysis,stanford university,social-economic-networks
the truth about cats and dogs,the university of edinburgh,cats-and-dogs
sports and society,duke university,sports-society
fundamentals of scalable data science,ibm,ds
effective compliance programs,university of pennsylvania,effective-compliance-programs
transformation of the global food system,university of copenhagen,transformation-global-food-system
web application technologies and django,university of michigan,django-database-web-apps
curanderismo: traditional healing using plants,university of new mexico,curanderismo-plants
applied machine learning in python,university of michigan,python-machine-learning
troubleshooting and debugging techniques,google,troubleshooting-debugging-techniques
introduction to c# programming and unity,university of colorado system,introduction-programming-unity
"corrección, estilo y  variaciones de la lengua española",universitat autònoma de barcelona,correccion-estilo-variaciones
les fondamentaux de la négociation,essec business school,fondamentaux-negociation
introduction to clinical data,stanford university,introduction-clinical-data
the science of success: what researchers know that you should know,university of michigan,success
finance for non-financial managers,emory university,finance-for-non-financial-managers
getting started with music theory,michigan state university,music-theory
digital marketing analytics in practice,university of illinois at urbana-champaign,digital-analytics
the horse course: introduction to basic care and management,university of florida,horse-care
verb tenses and passives,"university of california, irvine",verb-passives
gestión de organizaciones efectivas,pontificia universidad católica de chile,gestion-organizaciones-efectivas
introduction to big data,university of california san diego,big-data-introduction
rédaction de contrats,university of geneva,contrats
philosophy and the sciences: introduction to the philosophy of cognitive sciences,the university of edinburgh,philosophy-cognitive-sciences
schizophrenia,wesleyan university,schizophrenia
ecology: ecosystem dynamics and conservation,howard hughes medical institute ,ecology-conservation
introduction to game development,michigan state university,game-development
practical time series analysis,the state university of new york,practical-time-series-analysis
vlsi cad part i: logic,university of illinois at urbana-champaign,vlsi-cad-logic
getting started with google kubernetes engine,google cloud,google-kubernetes-engine
exploring ​and ​preparing ​your ​data with bigquery,google cloud,gcp-exploring-preparing-data-bigquery
six sigma and the organization (advanced),university system of georgia,six-sigma-organization-advanced
social work practice: advocating social justice and change,university of michigan,social-work-practice-advocating-social-justice-and-change
introduction to machine learning,duke university,machine-learning-duke
entrepreneurship 2: launching your start-up,university of pennsylvania,wharton-launching-startup
nanotechnology: a maker’s course,duke university,nanotechnology
creative problem solving,university of minnesota,creative-problem-solving
"sleep: neurobiology, medicine, and society",university of michigan,sleep
covid-19: what you need to know (cme eligible),osmosis,covid-19-what-you-need-to-know
classical sociological theory,university of amsterdam,classical-sociological-theory
electric industry operations and markets,duke university,electricity
preparing for the google cloud professional cloud architect exam,google cloud,preparing-cloud-professional-cloud-architect-exam
effective business presentations with powerpoint,pwc,powerpoint-presentations
more introduction to financial accounting,university of pennsylvania,wharton-financial-accounting
cryptocurrency and blockchain: an introduction to digital currencies,university of pennsylvania,wharton-cryptocurrency-blockchain-introduction-digital-currency
dairy production and management,the pennsylvania state university,dairy-production
think again i: how to understand arguments,duke university,understanding-arguments
developing your musicianship,berklee college of music,develop-your-musicianship
introduction to operations management,university of pennsylvania,wharton-operations
the oral cavity: portal to health and disease,university of pennsylvania,oralcavity
preparing for the google cloud associate cloud engineer exam,google cloud,preparing-cloud-associate-cloud-engineer-exam
fundamental neuroscience for neuroimaging,johns hopkins university,neuroscience-neuroimaging
european business law: understanding the fundamentals,lund university,european-law-fundamentals
teach english now! teaching language online,arizona state university,teachlanguageonline
front-end web development with react,the hong kong university of science and technology,front-end-react
music business foundations,berklee college of music,music-business-foundations
introduction to business analytics: communicating with data,university of illinois at urbana-champaign,intro-business-analytics
security & safety challenges in a globalized world,universiteit leiden,security-safety-globalized-world
machine learning foundations: a case study approach,university of washington,ml-foundations
accounting analytics,university of pennsylvania,accounting-analytics
strategic business management - microeconomics,"university of california, irvine",strategic-business-management-microeconomics
"epidemics, pandemics and outbreaks",university of pittsburgh,epidemic-pandemic-outbreak
roman architecture,yale university,roman-architecture
research data management and sharing,the university of edinburgh,data-management
introduction to genomic technologies,johns hopkins university,introduction-genomics
strategic management,copenhagen business school,strategic-management
cybersecurity compliance framework & system administration,ibm,cybersecurity-compliance-framework-system-administration
legal tech & startups,ie business school,legal-tech-startups
introduction to chemistry:  reactions and ratios,duke university,intro-chemistry
the science of stem cells,american museum of natural history,stem-cells
the business of product management i,advancing women in product,the-business-of-product-management-one
positive psychology: resilience skills,university of pennsylvania,positive-psychology-resilience
ai for medical prognosis,deeplearning.ai,ai-for-medical-prognosis
antibiotic stewardship,stanford university,antibiotic-stewardship
ux / ui: fundamentos para o design de interface,universidade de são paulo,ux-ui-design-de-interface
emt foundations,university of colorado system,emt-foundations
industrial iot on google cloud platform,google cloud,iiot-google-cloud-platform
"penetration testing, incident response and forensics",ibm,ibm-penetration-testing-incident-response-forensics
database management essentials,university of colorado system,database-management
advertising and society,duke university,role-of-advertising
everyday chinese medicine,the chinese university of hong kong,everyday-chinese-medicine
fundamentals of machine learning for healthcare,stanford university,fundamental-machine-learning-healthcare
new approaches to countering terror: countering violent extremism,"university of maryland, college park",countering-terror-violent-extremism
magic in the middle ages,universitat de barcelona,magic-middle-ages
challenging forensic science: how science should speak to court,university of lausanne,challenging-forensic-science
exploring renewable energy schemes,university of pennsylvania,exploring-renewable-energy
paleontology: theropod dinosaurs and the origin of birds,university of alberta,theropods-birds
corporate strategy,ucl school of management,corporatestrategy
getting started with essay writing,"university of california, irvine",getting-started-with-essay-writing
actualización en el manejo del paciente con diabetes mellitus tipo 2,universidad nacional autónoma de méxico,actualizacion-manejo-diabetes-tipo-2
mastering final cut pro,learnquest,mastering-final-cut-pro
removing barriers to change,university of pennsylvania,removing-barriers-to-change
tricky american english pronunciation,"university of california, irvine",tricky-american-english-pronunciation
managing an agile team,university of virginia,uva-darden-agile-team-management
international law in action: a guide to the international courts and tribunals in the hague,universiteit leiden,international-law-in-action
"competencias laborales: perfiles, evaluación y capacitación.",universidad de chile,competencias-lab
getting started with tensorflow 2,imperial college london,getting-started-with-tensor-flow2
geopolitics of europe,sciences po,geopolitics-europe
osteoarchaeology: the truth in our bones,universiteit leiden,truthinourbones-osteoarchaeology-archaeology
mathematics for machine learning: pca,imperial college london,pca-machine-learning
object oriented programming in java,university of california san diego,object-oriented-java
embedded software and hardware architecture,university of colorado boulder,embedded-software-hardware
memoir and personal essay: managing your relationship with the reader,wesleyan university,memoir-reader-relationship
математика и python для анализа данных,moscow institute of physics and technology,mathematics-and-python
hacia una práctica constructivista en el aula,pontificia universidad católica de chile,aulaconstructivista
hypothesis-driven development,university of virginia,uva-darden-agile-testing
accounting data analytics with python,university of illinois at urbana-champaign,accounting-data-analytics-python
introduction to molecular spectroscopy,university of manchester   ,spectroscopy
managing as a coach,"university of california, davis",managing-as-a-coach
the fundamentals of hotel distribution,essec business school,hotel-distribution
a crash course in data science,johns hopkins university,data-science-course
