name,institution,course_id
vital signs: understanding what the body is telling us,university of pennsylvania,vital-signs
understanding research methods,university of london,research-methods
ibm customer engagement specialist professional certificate,ibm,ibm-customer-engagement-specialist
introduction to calculus,the university of sydney,introduction-to-calculus
camino a la excelencia en gestión de proyectos,pontificia universidad católica de chile,camino-excelencia-gestion-proyectos
introduction to html5,university of michigan,html
wine tasting: sensory techniques for wine analysis,"university of california, davis",wine
excel skills for business: intermediate i,macquarie university,excel-intermediate-1
"programming foundations with javascript, html and css",duke university,duke-programming-web
build a modern computer from first principles: from nand to tetris (project-centered course),hebrew university of jerusalem,build-a-computer
food & beverage management,università bocconi,food-beverage-management
data analysis with python,ibm,data-analysis-with-python
project planning,"university of california, irvine",project-planning-1
agile meets design thinking,university of virginia,uva-darden-getting-started-agile
aws fundamentals: going cloud-native,amazon web services,aws-fundamentals-going-cloud-native
construction project management,columbia university,construction-project-management
introduction to mathematical thinking,stanford university,mathematical-thinking
everyday parenting: the abcs of child rearing,yale university,everyday-parenting
introduction to healthcare,stanford university,intro-to-healthcare
machine learning with python,ibm,machine-learning-with-python
terrorism and counterterrorism: comparing theory and practice,universiteit leiden,terrorism
data management for clinical research,vanderbilt university,clinical-data-management
sustainable fashion,copenhagen business school,sustainable-fashion
foundations of data science: k-means clustering in python,university of london,data-science-k-means-clustering-python
instructional design foundations and applications,university of illinois at urbana-champaign,instructional-design-foundations-applications
cursos en línea: modelo para armar,universidad nacional autónoma de méxico,enlinea
modern art & ideas,the museum of modern art,modern-art-ideas
"speak english professionally: in person, online & on the phone",georgia institute of technology,speak-english-professionally
essential google cloud infrastructure: foundation,google cloud,gcp-infrastructure-foundation
introduction to artificial intelligence (ai),ibm,introduction-to-ai
dog emotion and cognition,duke university,dog-emotion-and-cognition
international leadership and organizational behavior,università bocconi,organizational-behavior
driving business towards the sustainable development goals,erasmus university rotterdam,sdgbusiness
"the sustainable development goals – a global, transdisciplinary vision for the future",university of copenhagen,global-sustainable-development
